用例ID,模块,标题,前置条件,步骤,预期结果,优先级
TC-AUTH-021,用户系统,找回密码-两次密码不一致,"Recover 第二步",1. New Password 与 Confirm 不一致;2. 点击 Reset,提示两次密码不一致；密码未变更,P1
TC-AUTH-022,用户系统,找回密码-返回邮箱步骤,"Recover 第二步",1. 点击 Back to email,回到输入邮箱步骤,P2
TC-AUTH-023,用户系统,登出清除会话,"已登录任意账号",1. 点击侧栏退出图标;2. 尝试访问 /#/dashboard,调用登出后跳转 /#/signin；再次访问受保护页需重新登录,P0
TC-AUTH-024,用户系统,Settings 打开三卡片,"已登录",1. 侧栏进入 Settings 或访问 /#/settings,展示 Profile、Modify Password、Change Email 三块设置卡片,P0
TC-AUTH-025,用户系统,更新个人资料成功,"已登录",1. 修改 First Name（必填）及 Title/Organization/Phone/Gender;2. 点击 Save Profile,保存成功提示；刷新后资料保持更新,P0
TC-AUTH-026,用户系统,上传头像成功,"已登录；准备 ≤5MB 的 png/jpeg/webp/gif",1. 在 Profile 选择合法图片上传;2. 保存或自动更新后刷新,头像更新成功并在侧栏显示,P1
TC-AUTH-027,用户系统,上传头像超限或格式错误,"已登录",1. 选择 >5MB 或非图片格式文件,给出格式/大小限制提示；头像不变,P2
TC-AUTH-028,用户系统,Profile 邮箱只读,"已登录",1. 查看 Profile 中 Email 字段,Email 只读不可直接修改（需走 Change Email）,P1
TC-AUTH-029,用户系统,修改密码成功,"已登录；知悉当前密码",1. 填写 Current/New/Confirm（新密码≥6且一致）;2. 点击 Update Password,修改成功；旧密码失效新密码可登录,P0
TC-AUTH-030,用户系统,修改密码-当前密码错误,"已登录",1. Current 填错;2. 新密码合法一致;3. 点击 Update Password,提示当前密码错误；密码未变更,P1
TC-AUTH-031,用户系统,修改邮箱完整流程,"已登录；SMTP 可用；新邮箱未占用",1. 对当前邮箱 Send 验证码并填写;2. 填写 New Email 并 Send 验证码;3. 点击 Update Email,邮箱更新成功；可用新邮箱登录,P0
TC-AUTH-032,用户系统,修改邮箱发送验证码倒计时,"已登录；SMTP 可用",1. 点击 Send 发送当前或新邮箱验证码,按钮进入约60秒倒计时不可连点,P2
TC-AUTH-033,用户系统,登录后不消费 redirect 参数,"无会话",1. 访问 /#/tasks 被重定向到带 redirect 的登录页;2. 成功登录,按当前实现进入 /#/dashboard（不自动回到原 redirect 路径）,P2
