用例ID,模块,标题,前置条件,步骤,预期结果,优先级
TC-DS-020,质粒数据库,Upload Map-请求失败展示错误,"已登录；可模拟网关不可用或错误响应",1. 发起 Upload Map 上传,弹窗错误区展示服务端 message 或网络错误；弹窗不无故丢失上下文,P1
TC-DS-021,质粒数据库,Upload Map-上传中不可关闭,"已登录；上传耗时较长",1. 开始 Upload 后尝试关闭弹窗,忙状态不可关闭；完成后可关闭,P2
TC-DS-022,质粒数据库,Upload Map-支持格式限制,"已登录",1. 尝试选择不在 .fasta/.fa/.gb/.gbk/.ape/.str/.dna 内的文件,文件选择器限制或不接受该类型；无法以非法类型成功上传,P1
TC-DS-023,质粒数据库,Batch Upload-下载三类模板,"已登录 role=1 或 ≥9",1. 打开 Batch Upload 弹窗;2. 分别下载 Part / Backbone / Plasmid template (.xlsx),成功下载对应 Excel 模板文件,P0
TC-DS-024,质粒数据库,Batch Upload-合法 Excel 导入成功,"已登录 role=1 或 ≥9；按模板填写至少1行合法数据",1. 选择填好的 .xlsx/.xls;2. 点击 Upload;3. 等待进度与轮询完成,至少导入1行则任务 completed；提示汇总；关闭弹窗并刷新 Browse 列表,P0
TC-DS-025,质粒数据库,Batch Upload-全失败展示错误,"已登录 role=1 或 ≥9；Excel 全部非法或 name 全冲突",1. 上传会导致 created=0 的文件,任务 failed；错误文案展示在弹窗内；列表可不新增数据,P1
TC-DS-026,质粒数据库,Batch Upload-name 冲突跳过其余继续,"已登录 role=1 或 ≥9；Excel 含重复 name 与合法新行",1. 上传混合冲突与合法行的 Excel,冲突行记入 errors 并跳过；合法行仍导入；汇总中可见跳过/错误信息,P1
TC-DS-027,质粒数据库,Batch Upload-表头识别类型,"已登录 role=1 或 ≥9",1. 在 Part Browse 页上传 Backbone 表头签名的合法 Excel,按表头识别类型写入对应表；不依赖当前 Browse 的 datasetType 误写,P1
TC-DS-028,质粒数据库,普通用户不可编辑删除,"已登录普通用户(role=0)；存在数据行",1. 尝试 Browse/详情中的 Edit 或 Delete,无权限时 alert 提示或不显示操作；数据不被修改,P0
TC-DS-029,质粒数据库,数据管理员编辑元件,"已登录 role=1；存在可编辑行",1. 点击 Edit 进入 /#/datasets/:datasetType/:id/edit;2. 修改字段保存,保存成功；详情/列表反映更新,P0
TC-DS-030,质粒数据库,管理员删除元件,"已登录 role≥9 或 role=1；存在可删测试数据",1. 在 Browse 或详情执行 Delete 并确认,删除成功；列表不再显示该项,P0
TC-DS-031,质粒数据库,编辑页取消返回,"已登录 role=1 或 ≥9；在 edit 页",1. 修改部分字段后取消/返回（不保存）,不落库；原数据保持不变,P2
TC-DS-032,质粒数据库,Browse 空库状态,"已登录；对应类型无数据或筛选无结果",1. 打开 Browse 或将筛选设为无匹配,展示空列表/空态提示；页面不报错,P2
TC-DS-033,质粒数据库,未投产原型页不在主导航,"已登录",1. 检查侧栏 DataSets 入口;2. 确认主导航无 /datasets、/datasets-legacy 入口,侧栏进入的是 /#/datasets-categories；早期 Mock 页不作为投产入口,P2
