编号,模块,功能点,原需求/目标,页面/路由,对接 API,源码位置
F11,质粒数据库,下载/复制/收藏,根据权限提供序列或文件下载、复制、收藏等操作。,/datasets/:datasetType/:id/detail（Download Map）,GET /LabDatabase/downloadPartMap/:id 等遗留下载路径（前端直链，非 /api）,src/components/dataset-item-detail.vue（Download Map；序列仅展示无复制按钮；无元件收藏 API）
F12,文档中心,文档列表,按分类、标签或关键字展示帮助文档/说明文档。,/document,POST /documents/getTree,src/components/document.vue；src/components/document/doc-sidebar.vue；api/src/routes/documents.js；api/src/services/documentStore.js
F13,文档中心,文档详情,支持 Markdown/富文本展示，代码块、图片、表格显示正常。,/document,POST /documents/getPage,src/components/document.vue；src/components/document/doc-content.vue；src/components/document/doc-summary.vue；api/src/routes/documents.js；api/src/utils/documentContent.js
F14,文档中心,文档搜索,可搜索文档标题/内容，结果与后端接口匹配。,/document 侧栏搜索框,无独立搜索 API（前端对 getTree 结果按标题本地过滤）,src/components/document.vue；src/components/document/doc-sidebar.vue
F15,计算应用,应用列表,展示可用工具/应用，包含名称、描述、权限、入口和状态。,/apps；/dashboard 快捷卡片,POST /apps/list；POST /apps/toggleStar,src/components/apps.vue；src/components/apps/app-card.vue；src/components/dashboard.vue；api/src/routes/apps.js；api/src/services/appStore.js
F16,计算应用,参数配置表单,参数字段、默认值、校验、提示和依赖关系符合后端任务要求。,/t-pro 各操作弹窗；/tplot 各面板,外部 T-Pro API（/t-pro-api/）；TPlot 经 /tplot-api 与 /WebDatabase（选项 fallback 用 tplot-mock.js）,src/components/t-pro.vue；src/components/modals/*.vue；src/components/tplot.vue；src/components/tplot/*.vue；src/assets/js/tpro-create-loaders.js；src/assets/js/tplot-api.js；src/data/tplot-mock.js
F17,计算应用,任务提交,提交任务后能返回任务 ID，并进入状态页或历史记录。,/t-pro 弹窗提交后跳转 /tasks/:id,POST /tasks/create；外部 tpro.post,src/assets/js/tpro-task.js；src/components/modals/*.vue；api/src/routes/tasks.js；api/src/services/taskStore.js；api/src/services/taskRunner.js
F18,计算应用,任务状态轮询,能展示排队、运行、成功、失败、取消、超时等状态。,/tasks/:id,POST /tasks/detail,src/components/task-detail.vue；src/assets/js/tpro-task.js（pollTaskUntilDone）；src/data/tasks-mock.js（statusMap）；api/src/routes/tasks.js
F19,计算应用,结果展示/可视化,结果页面展示表格、图形、日志或文件列表；异常结果提示清楚。,/tasks/:id,POST /tasks/detail,src/components/task-detail.vue；src/components/t-pro/results/t-pro-task-result.vue；src/components/t-pro/results/*.vue
F20,计算应用,结果下载,支持按权限下载结果文件，文件名、类型和鉴权正确。,/tasks/:id；/tplot 面板,无专用结果文件下载 API（T-Pro 结果以表格展示；TPlot Download 为 Coming soon）,src/components/t-pro/results/*.vue；src/components/tplot/assembly-panel.vue；src/components/tplot/fitting-panel.vue
F21,Workspace,我的项目/工作区首页,展示用户项目、任务、文件、收藏等个人工作内容。,/dashboard；/notifications,POST /dashboard/getData；POST /notifications/list,src/components/dashboard.vue；src/components/dashboard/*.vue；src/components/notifications.vue；api/src/routes/dashboard.js；api/src/routes/notifications.js
F22,Workspace,文件上传与管理,支持上传、查看、删除、下载用户文件，并处理大小/格式限制。,/files,POST /files/list；POST /files/upload；POST /files/delete；POST /files/quota；GET /files/download/:id,src/components/files.vue；api/src/routes/files.js；api/src/services/userFileStore.js；api/src/middleware/uploadMulter.js
F23,Workspace,历史任务管理,用户可查看历史计算任务、状态、参数和结果。,/tasks；/tasks/:id,POST /tasks/list；POST /tasks/detail；POST /tasks/delete；POST /tasks/update,src/components/tasks.vue；src/components/tasks/task-row.vue；src/components/task-detail.vue；api/src/routes/tasks.js；api/src/services/taskStore.js
F24,Workspace,分享/协作,如需求包含分享或协作，应列明权限、链接、有效期和撤销方式；未做需说明。,/sharing；/tasks 内共享弹窗,POST /sharing/list；POST /sharing/users；POST /sharing/unshare；POST /tasks/share；POST /tasks/unshare,src/components/sharing.vue；src/components/sharing/share-card.vue；src/components/tasks.vue；api/src/routes/sharing.js；api/src/routes/tasks.js；api/src/services/sharingStore.js
F25,后台管理,用户管理,管理员可查看、搜索、禁用/启用、修改用户角色。,/admin（Users Tab）,GET /admin/users；GET /admin/users/:id；PUT /admin/users/:id/status；PUT /admin/users/:id/role；PUT /admin/users/:id/storage,src/components/admin.vue；api/src/routes/admin.js；api/src/services/userStore.js
F26,后台管理,角色与权限管理,管理员可配置角色权限，前端路由和按钮权限与后端一致。,/admin（Users Tab 角色分配）,PUT /admin/users/:id/role；GET/PUT /admin/users/:id/permissions（后端已实现，admin.vue 未对接权限 UI）,src/components/admin.vue；api/src/routes/admin.js；api/src/constants/roles.js；api/prisma/schema.prisma（user_permissions 表）
F27,后台管理,质粒数据管理,管理员可新增/编辑/删除/导入质粒数据库内容；如未实现需说明。,/datasets/:id/browse；/datasets/:datasetType/:id/edit；上传弹窗,POST /datasets/browse/update；POST /datasets/browse/delete；POST /datasets/browse/upload-map；POST /datasets/browse/upload-batch；POST /datasets/browse/upload-status；GET /datasets/browse/upload-template,src/components/dataset-browse.vue；src/components/dataset-item-edit.vue；src/components/dataset-browse/dataset-upload-modal.vue；src/components/dataset-browse/dataset-batch-upload-modal.vue；api/src/routes/datasets.js；api/src/services/datasetBrowseStore.js；api/src/services/datasetUploadStore.js
F28,后台管理,文档管理,管理员可新增、编辑、发布、下线文档。,/admin（Documents Tab）,GET /admin/documents；POST/PUT/DELETE /admin/documents/sections；POST/PUT/DELETE /admin/documents/pages,src/components/admin.vue；src/components/parts/document-content-editor.vue；api/src/routes/admin.js；api/src/services/documentStore.js
F29,后台管理,应用/工具配置,管理员可查看或维护计算应用配置、参数说明、可见权限等。,/admin（Apps Tab）,GET /admin/apps；POST /admin/apps；PUT /admin/apps/:id；PUT /admin/apps/:id/status；PUT /admin/apps/sort,src/components/admin.vue；api/src/routes/admin.js；api/src/services/appStore.js
F30,后台管理,任务监控,管理员可查看任务状态、错误日志、用户提交记录等。,/admin（Tasks Tab）,GET /admin/tasks；GET /admin/tasks/:id；PUT /admin/tasks/:id/status；DELETE /admin/tasks/:id,src/components/admin.vue；api/src/routes/admin.js；api/src/services/taskStore.js
